ID	PHASE	TITLE	LABELS	DEPENDS_ON	ACCEPTANCE
SAS-602	M6	封装 Zeek Suricata tshark 只读 OctoBus 服务	phase:M6,type:integration,priority:P0	SAS-601	工具版本参数输出写入 Evidence
SAS-603	M6	实现协议日志规范化和会话归并	phase:M6,type:feature,priority:P0	SAS-602	连接 DNS HTTP TLS 文件和告警统一
SAS-604	M6	实现时间线实体图和 ATT&CK 映射	phase:M6,type:feature,priority:P0	SAS-603	每个事件有证据且推断明确标记
SAS-605	M6	建立流量正确性和性能评测集	phase:M6,type:test,priority:P0	SAS-604	正常恶意加密截断和 1GB 样本通过
SAS-701	M7	实现授权范围时间方法和停止条件模型	phase:M7,type:security,priority:P0	SAS-205	主动请求缺一项即拒绝
SAS-702	M7	实现不可变审批记录与职责分离	phase:M7,type:security,priority:P0	SAS-701	提交人和审批人策略可配置
SAS-703	M7	实现目标身份 CIDR 域名与 DNS 漂移校验	phase:M7,type:security,priority:P0	SAS-702	范围外目标请求为零
SAS-704	M7	建立安全验证模板注册表	phase:M7,type:feature,priority:P0	SAS-703	禁止任意 Shell 或未评审 PoC
SAS-705	M7	开发 attack-validation-gated 双重策略服务	phase:M7,type:integration,priority:P0	SAS-704	Go 与工具侧都验证授权审批和停止条件
SAS-706	M7	实现验证证据和攻击路径图	phase:M7,type:feature,priority:P0	SAS-705	verified 结论可人工复现
SAS-707	M7	执行越权 SSRF DNS rebinding 与 Sandbox 专项测试	phase:M7,type:security,priority:P0	SAS-706	所有 P0 安全用例通过
SAS-801	M8	实现显式跨 Agent Workflow 与审批暂停	phase:M8,type:feature,priority:P1	SAS-305,SAS-405,SAS-506,SAS-605,SAS-707	工作流可取消恢复且不隐式放行高风险任务
SAS-802	M8	实现跨 Run lineage 版本和证据去重	phase:M8,type:feature,priority:P0	SAS-801	报告可追溯到最初数据源
SAS-803	M8	建立全套离线评测与升级回归门	phase:M8,type:test,priority:P0	SAS-802	模型 Skill 工具升级均需通过
SAS-901	M9	迁移 PostgreSQL 事务存储和任务租约	phase:M9,type:reliability,priority:P0	SAS-803	单节点故障不丢已接受任务
SAS-902	M9	迁移 S3 MinIO Artifact 与 KMS	phase:M9,type:reliability,priority:P0	SAS-901	加密 生命周期 签名下载和删除可验证
SAS-903	M9	实现 OIDC mTLS RBAC 与审批角色分离	phase:M9,type:security,priority:P0	SAS-901	所有敏感操作有身份和权限
SAS-904	M9	接入 OTEL SLO 告警容量和成本指标	phase:M9,type:observability,priority:P1	SAS-901	关键失败和延迟可告警
SAS-905	M9	建立离线交付 SBOM 签名扫描与升级回滚	phase:M9,type:release,priority:P0	SAS-902,SAS-903,SAS-904	客户环境可重复安装升级和恢复
